2021-11-12 10:20:06,654 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-12 10:20:07,972 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-12 10:20:07,975 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-12 10:20:07,980 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-12 10:20:07,984 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-12 10:20:11,613 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-12 10:20:11,615 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-12 10:20:11,617 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-12 10:20:11,619 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-12 10:20:31,422 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AutoDesk_Restass:AutoDesk_Restass:0.0.1-SNAPSHOT @ C:\Users\priyanka\eclipse-workspace\AutoDesk_Restass\pom.xml.
2021-11-12 10:20:35,955 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-12 10:20:35,957 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-12 10:20:35,959 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-12 10:20:35,961 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-12 10:20:36,273 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Tyss_Sdet22Rest:Tsyy_SdetRest:0.0.1-SNAPSHOT @ C:\Users\priyanka\eclipse-workspace\Tsyy_SdetRest\pom.xml.
2021-11-12 10:20:37,540 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-12 10:20:37,542 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-12 10:20:37,544 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-12 10:20:37,547 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-12 10:20:39,723 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-12 10:20:39,729 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-12 10:20:39,734 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-12 10:20:39,737 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-12 10:20:40,307 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-12 10:20:40,310 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-11-12 10:20:40,339 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-11-12 10:20:40,341 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
